"","Pin25307","Pin25708","Pin25825","Pin27584","Pin35790","Pin35791"
"Limnohabitans sp. 103DPR2",84,30,52,41,47,81
"Limnohabitans sp. 63ED37-2",194,100,184,125,116,256
"Melaminivora jejuensis",547,306,596,327,475,702
"Melaminivora sp. SC2-9",799,377,886,447,563,1136
"Ottowia oryzae",476,212,434,241,260,554
"Ottowia sp. 27C",527,228,546,255,390,675
"Ottowia sp. oral taxon 894",183,123,186,110,143,214
"Polaromonas naphthalenivorans",714,255,657,349,411,1030
"Polaromonas sp. JS666",2215,992,2796,1011,1130,7231
"Polaromonas vacuolata",99,38,90,47,68,97
"Pulveribacter suum",404,215,450,228,341,517
"Ramlibacter tataouinensis",4501,2097,4459,2546,3033,6947
"Rhodoferax antarcticus",198,78,157,114,142,263
"Rhodoferax ferrireducens",396,178,323,562,315,506
"Rhodoferax koreense",3863,1329,3571,1894,1966,3875
"Rhodoferax saidenbachensis",560,119,374,134,201,572
"Rhodoferax sediminis",1057,468,975,623,754,1433
"Rhodoferax sp. AJA081-3",494,105,450,153,216,456
"Rhodoferax sp. BAB1",939,372,839,382,516,1080
"Rhodoferax sp. MIZ03",146,57,161,79,108,212
"Rhodoferax sp. PAMC 29310",224,84,163,98,154,239
"Schlegelella brevitalea",1402,720,1584,759,812,1799
"Schlegelella thermodepolymerans",2145,1157,2546,988,1430,2677
"Serpentinimonas maccroryi",414,237,363,260,271,484
"Serpentinimonas raichei",367,200,469,191,265,494
"Simplicispira suum",528,282,603,350,376,690
"Variovorax boronicumulans",1195,534,1010,538,715,1291
"Variovorax paradoxus",11026,4164,8666,5064,5566,12273
"Variovorax sp. 38R",1839,481,1602,706,807,1545
"Variovorax sp. HW608",3964,1672,2916,1923,2493,4054
"Variovorax sp. PAMC 28711",2663,527,1747,684,848,1847
"Variovorax sp. PAMC26660",1515,470,938,518,656,1431
"Variovorax sp. PAMC28562",1579,494,1047,569,784,1451
"Variovorax sp. PBL-E5",3134,1195,2445,1581,2023,3194
"Variovorax sp. PBL-H6",4288,1672,3496,2086,2373,4440
"Variovorax sp. PBS-H4",3424,1254,2784,1661,1862,3543
"Variovorax sp. PDNC026",971,0,0,0,0,820
"Variovorax sp. RA8",3195,1396,2783,1591,2012,3463
"Variovorax sp. RKNM96",1539,550,1205,650,801,1522
"Variovorax sp. SRS16",2958,1387,3137,1793,2132,3303
"Variovorax sp. WDL1",4842,2141,3943,2456,2845,5378
"Verminephrobacter eiseniae",524,305,526,331,406,604
"Collimonas arenae",324,183,283,219,272,403
"Collimonas fungivorans",385,264,367,334,463,501
"Collimonas pratensis",262,151,232,222,259,339
"Duganella sp. AF9R3",473,221,341,456,363,711
"Duganella sp. GN2-R2",671,381,560,416,506,763
"Glaciimonas sp. PAMC28666",65,42,50,42,50,69
"Herbaspirillum frisingense",298,216,311,230,290,315
"Herbaspirillum hiltneri",311,157,280,224,291,342
"Herbaspirillum huttiense",212,112,193,110,188,233
"Herbaspirillum robiniae",473,293,408,311,342,522
"Herbaspirillum rubrisubalbicans",291,226,255,205,260,368
"Herbaspirillum seropedicae",382,223,281,238,363,364
"Herbaspirillum sp. meg3",187,118,173,132,195,214
"Herminiimonas arsenitoxidans",88,30,53,37,61,160
"Janthinobacterium agaricidamnosum",463,266,386,351,329,550
"Janthinobacterium lividum",199,143,135,150,147,243
"Janthinobacterium sp. 1_2014MBL_MicDiv",321,138,257,177,180,321
"Janthinobacterium sp. 17J80-10",277,132,273,160,209,317
"Janthinobacterium sp. B9-8",0,0,0,0,0,36
"Janthinobacterium sp. HH102",222,0,126,99,173,189
"Janthinobacterium sp. LM6",249,116,174,132,110,236
"Janthinobacterium sp. Marseille",110,76,103,114,126,218
"Janthinobacterium sp. PAMC25594",166,78,108,123,132,166
"Janthinobacterium svalbardensis",178,60,116,81,108,192
"Janthinobacterium tructae",157,69,117,82,99,156
"Massilia albidiflava",515,270,386,337,372,558
"Massilia armeniaca",489,263,412,281,333,522
"Massilia flava",640,410,570,452,565,764
"Massilia lutea",487,257,452,323,331,585
"Massilia oculi",512,256,418,309,348,526
"Massilia plicata",445,272,321,268,299,597
"Massilia putida",869,579,713,709,704,1087
"Massilia sp. CCM 8941",1008,248,507,395,308,735
"Massilia sp. DM-R-R2A-13",561,268,464,325,370,615
"Massilia sp. HC52",992,304,606,667,480,773
"Massilia sp. LPB0304",786,354,550,574,496,650
"Massilia sp. MB5",652,242,372,349,337,583
"Massilia sp. NP310",693,398,532,439,390,659
"Massilia sp. NR 4-1",489,236,390,287,310,507
"Massilia sp. PAMC28688",1029,210,611,394,318,783
"Massilia sp. WG5",992,567,781,700,662,947
"Massilia sp. YMA4",529,280,422,343,448,568
"Massilia umbonata",487,318,438,337,348,546
"Massilia violaceinigra",862,253,509,400,333,699
"Noviherbaspirillum sp. UKPF54",530,300,461,375,416,639
"Oxalobacter formigenes",29,23,34,25,47,49
"Undibacterium parvum",66,31,43,35,48,64
"Undibacterium sp. KW1",43,32,44,54,39,65
"Undibacterium sp. YM2",39,0,47,26,36,60
"Sutterella faecalis",86,61,107,63,86,149
"Sutterella megalosphaeroides",136,108,133,78,102,196
"Sutterella wadsworthensis",47,28,0,25,36,59
"Turicimonas muris",24,0,32,0,22,29
"Casimicrobium huifangae",665,412,587,499,583,832
"Aquaspirillum sp. LM1",98,62,72,68,74,127
"Aquitalea aquatilis",76,58,96,46,67,87
"Aquitalea denitrificans",62,39,46,0,58,49
"Aquitalea magnusonii",58,36,44,51,53,69
"Aquitalea sp. USM4",51,45,45,39,63,60
"Chitinibacter bivalviorum",0,0,57,0,69,54
"Chitinibacter fontanus",0,0,0,0,24,31
"Chromobacterium haemolyticum",0,0,0,0,0,191
"Chromobacterium paludis",142,107,139,109,96,147
"Chromobacterium phragmitis",132,79,160,125,138,126
"Chromobacterium rhizoryzae",268,0,0,0,219,234
"Chromobacterium sp. ATCC 53434",206,142,216,139,201,289
"Chromobacterium sp. Beijing",104,158,204,0,126,128
"Chromobacterium sp. Rain0013",76,81,0,157,65,91
"Chromobacterium vaccinii",198,182,216,174,166,299
"Chromobacterium violaceum",221,153,267,234,190,272
"Deefgea sp. D25",0,0,0,0,34,31
"Jeongeupia sp. HS-3",166,151,136,135,135,201
"Jeongeupia sp. USM3",377,274,338,225,276,390
"Laribacter hongkongensis",304,223,301,206,302,320
"Microvirgula aerodenitrificans",217,138,190,115,204,280
"Paludibacterium paludis",154,94,168,110,119,215
"Paludibacterium sp. B53371",138,68,104,80,138,110
"Paludibacterium yongneupense",173,108,116,113,167,207
"Pseudogulbenkiania sp. NH8B",281,204,294,235,259,403
"Vogesella sp. LIG4",169,132,141,118,129,209
"Vogesella sp. XCS3",95,38,101,62,82,103
"Chitinolyticbacter meiyuanensis",224,142,261,127,190,265
"Crenobacter cavernae",365,282,448,273,342,514
"Eikenella corrodens",43,53,80,41,64,0
"Kingella denitrificans",0,0,0,0,43,58
"Kingella oralis",25,0,36,0,30,39
"Neisseria animalis",25,0,0,0,0,31
"Neisseria animaloris",0,0,0,0,0,32
"Neisseria bacilliformis",38,42,81,35,58,86
"Neisseria chenwenguii",34,0,34,0,31,38
"Neisseria dentiae",30,23,0,23,31,28
"Neisseria elongata",36,0,0,0,0,41
"Neisseria meningitidis",221,134,0,203,153,182
"Neisseria musculi",0,0,0,0,35,28
"Neisseria shayeganii",37,29,45,25,39,45
"Neisseria sicca",36,0,0,0,0,0
"Neisseria sp. KEM232",51,32,64,30,37,54
"Neisseria weaveri",0,0,0,0,0,52
"Neisseria weixii",28,0,0,0,0,0
"Paralysiella testudinis",0,0,27,0,0,0
"Vitreoscilla filiformis",190,99,137,113,112,245
"Candidatus Nitrotoga arctica",318,67,57,130,97,119
"Candidatus Nitrotoga sp. AM1P",360,0,33,68,29,53
"Ferrigenium kumadai",309,196,231,169,295,417
"Ferriphaselus amnicola",89,60,106,88,125,147
"Gallionella capsiferriformans",81,35,55,54,92,94
"Sideroxydans lithotrophicus",227,112,179,141,304,287
"Sideroxydans sp. MIZ01",248,143,216,175,350,326
"Methylobacillus flagellatus",107,60,64,78,99,116
"Methylophilus medardicus",22,0,32,0,0,30
"Methylophilus sp. TWE2",26,0,26,0,0,27
"Methyloradius palustris",25,0,0,0,0,24
"Methylotenera mobilis",56,0,0,0,0,0
"Methylotenera versatilis",72,0,33,0,0,0
"Methylovorus glucosotrophus",0,0,0,0,0,65
"Methylovorus sp. MP688",68,0,45,0,53,0
"Nitrosomonas communis",137,64,162,25,0,46
"Nitrosomonas europaea",65,0,43,0,33,37
"Nitrosomonas eutropha",0,0,76,57,0,0
"Nitrosomonas ureae",246,47,292,39,45,57
"Nitrosospira briensis",426,58,191,62,127,117
"Nitrosospira lacus",3594,189,224,661,180,324
"Nitrosospira multiformis",211,83,76,70,165,126
"Nitrosospira sp. NRS527",374,50,190,96,159,91
"Denitratisoma oestradiolicum",210,112,166,123,153,275
"Denitratisoma sp. DHT3",602,460,622,520,561,827
"Methyloversatilis sp. RAC08",388,212,363,208,284,467
"Sterolibacterium denitrificans",464,245,401,277,306,498
"Sulfuritalea hydrogenivorans",406,304,467,288,473,679
"Sulfuricella denitrificans",222,116,137,132,115,235
"Sulfuriferula nivalis",29,0,0,23,0,31
"Sulfuriferula plumbiphila",256,148,196,140,198,298
"Sulfuriferula sp. AH1",145,85,108,80,97,144
"Sulfurimicrobium lacus",347,203,257,176,236,396
"Sulfuritortus calidifontis",483,336,514,285,392,609
"Thiobacillus denitrificans",583,374,492,311,443,763
"Usitatibacter palustris",2881,1806,6732,1607,2986,6039
"Usitatibacter rugosus",3379,2843,3697,2506,5088,4942
"Dechloromonas denitrificans",472,228,358,267,406,892
"Dechloromonas sp. HYN0024",145,64,119,79,103,233
"Dechloromonas sp. TW-R-39-2",95,51,79,54,99,162
"Ferribacterium limneticum",545,344,479,362,566,1197
"Quatrionicoccus australiensis",280,178,264,215,277,488
"Fluviibacter phosphoraccumulans",42,48,65,36,53,68
"Aromatoleum aromaticum",486,314,419,309,380,677
"Aromatoleum bremense",549,403,626,448,478,865
"Aromatoleum petrolei",642,445,616,407,573,851
"Aromatoleum pumilum",448,328,452,305,325,523
"Azospira inquinata",75,48,76,55,91,105
"Azospira oryzae",161,168,130,108,160,274
"Azospira restricta",1182,824,1316,677,945,1569
"Azospira sp. I09",276,190,255,239,216,362
"Niveibacterium microcysteis",395,243,367,245,386,542
"Oryzomicrobium terrae",235,209,250,162,234,288
"Rugosibacter aromaticivorans",131,119,111,90,136,169
"Azoarcus communis",608,327,550,405,530,707
"Azoarcus olearius",567,338,539,337,416,747
"Azoarcus sp. DD4",649,490,594,432,511,806
"Azoarcus sp. KH32C",614,451,592,435,598,907
"Nitrogeniibacter aestuarii",179,98,191,147,164,245
"Nitrogeniibacter mangrovi",392,262,421,209,338,537
"Thauera aromatica",881,591,834,605,727,1204
"Thauera chlorobenzoica",449,292,494,294,403,551
"Thauera humireducens",513,249,468,335,363,727
"Thauera hydrothermalis",211,109,214,128,194,271
"Thauera sp. K11",883,518,827,517,625,1075
"Thauera sp. MZ1T",1179,826,1170,635,912,1449
"Bradymonas sediminis",139,122,142,105,131,164
"Persicimonas caeni",408,325,347,361,383,427
"Desulfarculus baarsii",324,250,351,295,277,454
"Desulfatibacillum aliphaticivorans",69,62,58,59,78,74
"Desulfobacula toluolica",0,0,0,0,21,0
"Desulfococcus multivorans",81,81,107,79,90,128
"Desulfoluna sp. ASN36",65,44,52,57,59,78
"Desulfonema magnum",26,29,35,22,27,36
"Desulforapulum autotrophicum",24,23,24,0,28,46
"Desulfosarcina alkanivorans",151,112,178,156,179,228
"Desulfosarcina ovata",95,87,108,106,102,150
"Desulfosarcina widdelii",90,75,86,74,99,139
"Desulfobulbus oligotrophicus",0,0,0,0,0,47
"Desulfobulbus oralis",74,71,68,73,76,109
"Desulfobulbus propionicus",107,70,88,85,116,147
"Desulfurivibrio alkaliphilus",78,61,51,48,57,95
"Desulfosediminicola flagellatus",0,0,0,0,23,0
"Desulfosediminicola ganghwensis",0,34,31,0,22,45
"Desulfosudis oleivorans",59,56,65,54,63,70
"Desulfohalobium retbaense",39,47,37,22,48,49
"Desulfomicrobium baculatum",105,85,101,75,95,138
"Desulfomicrobium orale",82,34,61,53,76,95
"Desulfocurvibacter africanus",117,125,108,124,109,153
"Desulfolutivibrio sulfoxidireducens",111,124,148,88,96,154
"Desulfovibrio desulfuricans",84,97,72,80,114,97
"Desulfovibrio fairfieldensis",53,49,52,45,66,73
"Desulfovibrio ferrophilus",28,33,50,33,38,57
"Desulfovibrio piger",64,70,72,64,72,120
"Desulfovibrio sp. 86",37,42,45,0,49,56
"Desulfovibrio sp. G11",0,0,47,39,35,68
"Desulfovibrio sp. IOR2",115,94,93,94,106,126
"Desulfovibrio sulfodismutans",104,98,96,86,112,123
"Desulfovibrio vulgaris",102,90,117,82,114,121
"Megalodesulfovibrio gigas",75,71,78,82,75,115
"Oceanidesulfovibrio marinus",182,151,113,112,120,234
"Oleidesulfovibrio alaskensis",127,92,95,81,67,132
"Paradesulfovibrio bizertensis",0,0,24,0,0,0
"Pseudodesulfovibrio aespoeensis",193,168,230,149,142,177
"Pseudodesulfovibrio cashew",83,80,102,72,70,112
"Pseudodesulfovibrio indicus",132,116,129,105,114,171
"Pseudodesulfovibrio mercurii",127,135,139,104,136,188
"Pseudodesulfovibrio profundus",70,50,0,58,97,100
"Pseudodesulfovibrio sp. SF6",58,27,48,36,53,61
"Pseudodesulfovibrio sp. zrk46",39,32,37,30,35,64
"Solidesulfovibrio carbinolicus",101,112,120,127,120,172
"Solidesulfovibrio carbinoliphilus",170,150,167,109,139,225
"Solidesulfovibrio magneticus",99,95,114,68,128,114
"Desulfuromonas soudanensis",203,170,152,150,240,281
"Desulfuromonas sp. AOP6",84,77,70,59,90,126
"Desulfuromonas sp. DDH964",265,184,212,214,283,386
"Desulfuromonas versatilis",310,281,335,274,323,461
"Pelobacter propionicus",250,207,210,228,890,525
"Citrifermentans bemidjiense",179,165,153,172,309,288
"Citrifermentans bremense",217,197,181,211,341,306
"Geoalkalibacter subterraneus",239,137,179,194,283,307
"Geobacter benzoatilyticus",90,92,91,84,231,187
"Geobacter metallireducens",148,142,156,121,392,307
"Geobacter pickeringii",239,192,197,203,504,398
"Geobacter sp. DSM 9736",73,63,49,69,147,132
"Geobacter sp. FeAm09",267,196,137,181,1223,657
"Geobacter sp. SVR",205,172,129,143,916,440
"Geobacter sulfurreducens",220,198,210,205,529,406
"Geomonas nitrogeniifigens",253,215,259,255,474,425
"Geomonas oryzisoli",297,186,211,245,407,380
"Geomonas sp. RF6",258,220,239,233,392,380
"Geomonas subterranea",218,201,188,171,432,367
"Geotalea daltonii",59,44,41,57,219,132
"Geotalea uraniireducens",194,127,136,188,818,415
"Trichlorobacter lovleyi",79,72,48,38,252,129
"Syntrophotalea acetylenica",73,70,71,59,75,112
"Syntrophotalea acetylenivorans",54,45,40,43,59,56
"Syntrophotalea carbinolica",50,33,78,41,66,67
"Anaeromyxobacter dehalogenans",1240,1136,1187,1104,1580,2020
"Anaeromyxobacter sp. Fw109-5",1156,1239,1187,1194,1620,2450
"Anaeromyxobacter sp. K",692,725,611,619,839,1025
"Archangium gephyra",722,671,929,576,718,793
"Archangium violaceum",1679,1358,1679,1395,1535,1943
"Cystobacter fuscus",706,650,628,594,679,865
"Melittangium boletus",562,496,575,494,615,674
"Stigmatella aurantiaca",799,780,694,662,714,911
"Haliangium ochraceum",1325,876,1251,1070,1202,1438
"Labilithrix luteola",1594,1166,1416,1429,1787,1794
"Corallococcus coralloides",867,1001,906,766,872,1166
"Corallococcus macrosporus",627,546,521,519,588,751
"Corallococcus sp. EGB",470,396,452,417,462,650
"Myxococcus hansupus",400,320,360,399,403,567
"Myxococcus sp. SCHIC003",349,317,356,341,360,439
"Myxococcus stipitatus",420,388,358,252,360,485
"Myxococcus xanthus",890,695,791,682,755,1052
"Pyxidicoccus sp. SCPEA002",949,1041,730,703,702,1305
"Chondromyces crocatus",945,637,873,790,915,1047
"Pajaroellobacter abortibovis",31,0,32,26,53,30
"Sorangium cellulosum",7656,5635,7540,6881,7191,8338
"Sandaracinus amylolyticus",3008,2006,2941,2163,2391,3138
"Vulgatibacter incomptus",652,579,639,491,606,848
"Desulfobacca acetoxidans",45,44,42,47,60,48
"Desulfomonile tiedjei",70,37,58,57,86,83
"Dissulfurimicrobium hydrothermale",0,25,0,29,31,37
"Syntrophus aciditrophicus",45,38,36,30,51,60
"Desulfoglaeba alkanexedens",106,93,126,88,97,164
"Syntrophobacter fumaroxidans",240,201,242,196,202,364
"Campylobacter showae",0,0,0,0,0,36
"Helicobacter pylori",0,0,0,0,0,55
"Hydrogenimonas urashimensis",34,0,26,35,37,37
"Nitratifractor salsuginis",34,29,28,29,37,32
"Sulfurimonas sp. HSL-3221",36,44,40,46,30,71
"Acidiferrobacter sp. SPIII_3",87,104,117,83,99,135
"Acidiferrobacter thiooxydans",87,85,93,73,85,136
"Sulfuricaulis limicola",393,270,402,258,302,464
"Sulfurifustis variabilis",642,485,753,443,512,935
"Aeromonas caviae",624,448,689,476,531,765
"Aeromonas dhakensis",0,80,0,0,0,121
"Aeromonas encheleia",81,45,53,86,73,320
"Aeromonas enteropelogenes",73,45,89,62,69,76
"Aeromonas hydrophila",565,372,522,491,546,668
"Aeromonas jandaei",81,66,74,0,70,93
"Aeromonas media",368,141,178,184,225,296
"Aeromonas rivuli",0,37,71,39,0,67
"Aeromonas salmonicida",153,125,217,121,173,197
"Aeromonas schubertii",80,78,92,68,74,128
"Aeromonas simiae",129,73,117,97,74,133
"Aeromonas sp. CA23",34,0,35,0,0,44
"Aeromonas sp. FDAARGOS 1409",65,0,0,0,0,0
"Aeromonas sp. FDAARGOS 1415",0,0,59,48,75,55
"Aeromonas veronii",381,247,393,307,359,434
"Dongshaea marina",0,0,0,29,23,0
"Oceanimonas sp. GK1",66,57,56,38,49,96
"Tolumonas auensis",0,0,0,0,36,0
"Zobellella denitrificans",119,88,127,90,85,154
"Alteromonas macleodii",63,0,0,0,0,0
"Alteromonas pelagimontana",0,0,0,41,0,0
"Glaciecola amylolytica",0,0,40,0,0,28
"Hydrocarboniclastica marina",53,49,49,52,71,59
"Lacimicrobium alkaliphilum",0,0,0,0,0,32
"Saliniradius amylolyticus",23,0,0,0,0,0
"Ferrimonas balearica",42,51,57,51,58,73
"Pseudoalteromonas rubra",83,0,81,0,0,87
"Shewanella algae",130,0,0,177,183,184
"Shewanella cyperi",78,0,0,0,0,86
"Shewanella marisflavi",0,0,157,0,0,0
"Cardiobacterium hominis",54,49,79,47,64,77
"Cardiobacterium sp. Marseille-Q4385",40,0,42,48,49,53
"Cellvibrio japonicus",51,0,60,0,27,0
"Cellvibrio sp. KY-GH-1",66,0,139,0,0,40
"Cellvibrio sp. KY-YJ-3",84,0,264,0,34,47
"Cellvibrio sp. PSBB006",69,24,68,35,42,38
"Cellvibrio sp. PSBB023",80,0,168,0,23,38
"Marinagarivorans sp. GE09",0,0,0,0,0,33
"Simiduia agarivorans",51,31,41,33,38,50
"Teredinibacter purpureus",0,21,0,0,0,0
"Teredinibacter turnerae",29,20,0,0,33,28
"Aequoribacter fuscus",0,0,0,0,0,24
"Congregibacter litoralis",77,68,97,79,73,105
"Halioglobus japonicus",55,27,62,40,41,63
"Halioglobus maricola",51,30,35,34,35,46
"Kineobactrum salinum",117,80,84,75,82,127
"Microbulbifer agarilyticus",29,0,26,0,0,37
"Microbulbifer aggregans",61,62,66,38,52,77
"Microbulbifer celer",47,38,51,36,44,38
"Microbulbifer elongatus",46,26,40,32,34,46
"Microbulbifer hydrolyticus",53,25,54,37,55,45
"Microbulbifer sp. A4B17",32,0,0,0,0,0
"Microbulbifer sp. ALW1",52,29,59,47,52,49
"Microbulbifer sp. SH-1",82,43,68,47,57,81
"Microbulbifer sp. YPW1",51,29,47,31,25,54
"Microbulbifer sp. YPW16",70,58,87,45,72,88
"Microbulbifer thermotolerans",39,37,33,25,52,54
"Spongiibacter nanhainus",39,23,31,33,33,54
"Spongiibacter sp. IMCC21906",0,0,29,0,0,0
"Zhongshania aliphaticivorans",31,0,23,0,30,22
"Allochromatium tepidum",214,156,240,167,167,258
"Allochromatium vinosum",176,155,185,183,163,337
"Caldichromatium japonicum",108,102,104,74,104,120
"Marichromatium purpuratum",323,269,321,220,203,375
"Nitrosococcus halophilus",0,0,45,28,0,31
"Nitrosococcus wardiae",0,0,0,0,0,34
"Nitrosococcus watsonii",0,0,0,32,0,34
"Rheinheimera sp. F8",21,0,23,0,0,0
"Thermochromatium tepidum",151,125,179,104,114,190
"Thiocapsa bogorovii",266,187,277,212,235,308
"Thiocystis violascens",187,135,245,150,207,243
"Thiodictyon Candidatus Thiodictyon syntrophicum",326,244,355,255,269,482
"Thioflavicoccus mobilis",276,232,315,238,253,379
"Acidihalobacter aeolianus",195,136,239,126,168,240
"Acidihalobacter ferrooxydans",154,107,174,109,129,249
"Acidihalobacter yilgarnensis",101,99,127,102,103,147
"Alkalilimnicola ehrlichii",166,132,200,140,141,250
"Aquisalimonas sp. 2447",176,133,171,144,150,236
"Ectothiorhodosinus mongolicus",25,23,28,24,0,35
"Ectothiorhodospira haloalkaliphila",67,54,91,85,84,104
"Ectothiorhodospira sp. BSL-9",88,82,92,64,70,108
"Halorhodospira halochloris",31,0,37,37,41,49
"Halorhodospira halophila",143,127,218,149,147,218
"Spiribacter curvatus",88,101,117,74,84,148
"Spiribacter salinus",65,60,98,69,59,87
"Spiribacter sp. 2438",95,68,118,49,57,131
"Spiribacter sp. E85",305,264,364,246,300,427
"Thioalkalivibrio nitratireducens",264,215,285,162,188,375
"Thioalkalivibrio paradoxus",270,222,305,212,268,369
"Thioalkalivibrio sp. K90mix",129,115,167,104,107,223
"Thioalkalivibrio sulfidiphilus",384,265,413,304,273,430
"Thioalkalivibrio versutus",126,124,194,113,129,204
"Granulosicoccus antarcticus",50,34,39,37,37,73
"Sulfuriflexus mobilis",54,22,80,31,41,77
"Halothiobacillus neapolitanus",52,27,39,30,52,31
"Halothiobacillus sp. LS2",99,72,120,60,94,113
"Guyparkeria halophila",190,167,223,163,176,255
"Sulfurivermis fontis",252,143,284,197,188,306
"Thiohalobacter sp. COW1",136,130,210,183,145,153
"Thiohalobacter thiocyanaticus",153,78,163,0,73,200
"Wenzhouxiangella marina",189,132,193,181,125,235
"Wenzhouxiangella sp. AB-CW3",140,78,144,95,121,174
"Woeseia oceani",123,79,169,82,71,176
"Sodalis praecaptivus",0,69,0,48,48,50
"Sodalis sp. dw_23",69,36,70,60,58,64
"Atlantibacter hermannii",0,0,31,33,30,0
"Buttiauxella agrestis",39,0,0,42,0,0
"Candidatus Symbiopectobacterium sp. SyEd1",0,0,0,24,25,0
"Cedecea lapagei",0,0,0,0,0,37
"Cedecea neteri",82,54,72,71,88,94
"Cedecea sp. FDAARGOS_727",0,0,29,0,27,31
"Citrobacter farmeri",0,0,0,0,0,44
"Citrobacter freundii",478,272,325,325,376,319
"Citrobacter rodentium",34,0,25,0,27,42
"Citrobacter tructae",0,0,0,0,0,40
"Cronobacter condimenti",0,43,0,0,50,0
"Cronobacter dublinensis",57,0,50,0,35,37
"Cronobacter sakazakii",70,88,62,79,74,122
"Cronobacter universalis",0,0,0,0,0,48
"Enterobacter asburiae",127,158,121,229,219,184
"Enterobacter cancerogenus",49,36,42,39,71,54
"Enterobacter cloacae",371,327,410,429,473,581
"Enterobacter hormaechei",821,439,845,699,845,741
"Enterobacter mori",0,51,0,0,0,0
"Enterobacter roggenkampii",163,0,0,160,0,0
"Enterobacter sp. JUb54",44,0,58,0,46,41
"Enterobacter sp. SA187",39,38,0,0,0,39
"Escherichia coli",1546,4585,1237,2529,1797,1295
"Jejubacter calystegiae",29,25,35,0,0,33
"Klebsiella aerogenes",59,59,90,82,88,104
"Klebsiella michiganensis",0,0,148,251,0,180
"Klebsiella oxytoca",112,83,126,75,103,101
"Klebsiella pneumoniae",1713,1331,1430,1298,1552,3425
"Klebsiella quasipneumoniae",346,233,406,359,260,255
"Klebsiella variicola",0,0,0,0,0,124
"Kluyvera intermedia",58,54,0,63,0,104
"Kosakonia arachidis",0,0,0,0,40,27
"Kosakonia cowanii",0,59,82,0,0,102
"Kosakonia radicincitans",54,0,0,0,0,0
"Kosakonia sacchari",40,31,0,75,73,34
"Kosakonia sp. SMBL-WEM22",0,29,0,0,0,0
"Leclercia adecarboxylata",169,116,122,131,155,191
"Leclercia sp. 29361",0,0,0,0,55,67
"Leclercia sp. 4-9-1-25",54,0,55,0,0,0
"Lelliottia amnigena",97,54,80,54,77,117
"Plesiomonas shigelloides",59,36,42,38,47,80
"Pluralibacter [Enterobacter] lignolyticus",39,31,40,44,62,59
"Pluralibacter gergoviae",97,111,114,73,91,135
"Pseudescherichia vulneris",0,0,44,26,29,41
"Pseudocitrobacter sp. G163CM",0,24,0,0,25,28
"Raoultella planticola",0,99,0,0,99,131
"Raoultella sp. HC6",0,60,0,120,96,87
"Salmonella bongori",0,0,0,0,24,0
"Salmonella enterica",1589,4473,6170,3356,2874,3555
"Scandinavium goeteborgense",27,0,0,31,0,0
"Shimwellia blattae",0,0,0,0,0,29
"Yokenella regensburgei",34,32,0,0,0,46
"Buchnera aphidicola",25,0,30,24,24,36
"Erwinia billingiae",85,0,0,66,0,112
"Erwinia gerundensis",31,50,29,0,40,32
"Erwinia persicina",0,0,34,0,48,41
"Erwinia rhapontici",26,0,53,35,0,62
"Erwinia sp. E602",51,56,50,29,41,84
"Erwinia sp. J780",0,0,0,26,0,0
"Erwinia tasmaniensis",30,0,0,0,0,31
"Mixta calida",0,41,48,41,50,56
"Mixta gaviniae",38,0,41,39,38,65
"Mixta intestinalis",0,0,0,0,26,0
"Mixta theicola",46,0,34,30,0,52
"Pantoea agglomerans",185,179,169,201,153,229
"Pantoea alhagi",0,0,0,34,0,0
"Pantoea ananatis",54,28,46,34,34,45
"Pantoea cypripedii",31,24,0,29,22,22
"Pantoea dispersa",103,100,79,96,108,118
"Pantoea rwandensis",0,28,0,0,0,36
"Pantoea sp. At-9b",0,0,0,31,40,23
"Pantoea sp. CCBC3-3-1",0,0,0,0,0,35
"Pantoea sp. MSR2",0,0,0,0,23,29
"Pantoea sp. SO10",33,27,32,0,33,37
"Pantoea sp. Z09",70,82,61,41,53,71
"Pantoea stewartii",0,33,29,0,33,51
"Pantoea vagans",87,0,76,101,86,148
"Edwardsiella hoshinae",0,34,39,0,43,59
"Edwardsiella ictaluri",0,0,0,0,57,0
"Edwardsiella tarda",151,111,147,112,123,136
"Morganella morganii",127,71,75,81,88,94
"Proteus mirabilis",0,0,0,0,0,93
"Brenneria goodwinii",54,46,49,45,43,0
"Brenneria izadpanahii",41,47,47,63,67,90
"Brenneria rubrifaciens",0,0,0,0,0,45
"Dickeya chrysanthemi",33,45,29,33,32,55
"Dickeya dadantii",105,108,69,45,93,103
"Dickeya dianthicola",0,0,59,32,0,63
"Dickeya fangzhongdai",0,0,0,125,0,0
"Dickeya zeae",86,0,97,70,100,115
"Lonsdalea britannica",34,31,35,0,29,41
"Lonsdalea populi",27,0,37,37,0,50
"Pectobacterium atrosepticum",0,0,0,0,0,35
"Pectobacterium brasiliense",71,0,0,55,54,0
"Pectobacterium carotovorum",94,108,0,71,74,122
"Ewingella americana",28,27,0,37,25,25
"Gibbsiella quercinecans",30,38,40,48,31,53
"Nissabacter sp. SGAir0207",53,64,55,46,86,91
"Rahnella aceris",142,0,0,0,0,0
"Rahnella aquatilis",161,0,65,59,62,97
"Rahnella inusitata",0,0,32,0,0,53
"Rahnella sp. ERMR1:05",29,0,26,0,25,29
"Rahnella victoriana",36,43,30,0,26,110
"Rouxiella badensis",24,0,26,30,35,38
