"","Total Number of reads for each species across all samples"
"Rhodophyticola sp. CCM32",446
"Rhodovulum sp. MB263",1002
"Rhodovulum sp. P5",945
"Rhodovulum sulfidophilum",1985
"Roseicitreum antarcticum",670
"Silicimonas algicola",1801
"Tabrizicola piscis",1175
"Thioclava electrotropha",919
"Thioclava nitratireducens",1146
"Tritonibacter mobilis",747
"Yoonia vestfoldensis",538
"Actibacterium sp. EMB200-NS6",1546
"Antarctobacter heliothermus",526
"Celeribacter baekdonensis",407
"Celeribacter ethanolicus",913
"Celeribacter indicus",2574
"Celeribacter marinus",203
"Dinoroseobacter shibae",1631
"Falsihalocynthiibacter arcticus",164
"Jannaschia sp. CCS1",583
"Jannaschia sp. J12C1-MA-4",940
"Ketogulonicigenium robustum",420
"Ketogulonicigenium vulgare",528
"Leisingera aquaemixtae",847
"Leisingera methylohalidivorans",690
"Leisingera sp. NJS201",262
"Leisingera sp. NJS204",373
"Mameliella alba",1321
"Maribius sp. THAF1",708
"Oceanicola sp. D3",843
"Octadecabacter antarcticus",246
"Octadecabacter arcticus",360
"Octadecabacter sp. SW4",452
"Octadecabacter temperatus",75
"Phaeobacter gallaeciensis",2293
"Phaeobacter inhibens",993
"Phaeobacter piscinae",468
"Phaeobacter porticola",287
"Roseibacterium elongatum",806
"Roseivivax marinus",1921
"Roseivivax sp. THAF30",1900
"Roseobacter denitrificans",344
"Roseobacter litoralis",325
"Roseobacter ponti",451
"Roseovarius faecimaris",699
"Roseovarius indicus",2453
"Roseovarius mucosus",201
"Roseovarius sp. SCSIO 43702",1245
"Roseovarius sp. THAF27",605
"Roseovarius sp. THAF8",760
"Roseovarius sp. THAF9",968
"Roseovarius sp. TM1035",365
"Ruegeria pomeroyi",872
"Ruegeria sp. AD91A",187
"Ruegeria sp. SCSIO 43209",329
"Ruegeria sp. THAF33",407
"Ruegeria sp. TM1040",383
"Sagittula sp. P11",2627
"Salipiger abyssi",2349
"Salipiger profundus",2895
"Salipiger sp. CCB-MM3",1278
"Sulfitobacter alexandrii",1698
"Sulfitobacter mediterraneus",558
"Sulfitobacter pseudonitzschiae",1774
"Sulfitobacter sp. BSw21498",248
"Sulfitobacter sp. CB2047",88
"Sulfitobacter sp. D7",598
"Sulfitobacter sp. JK7-1",679
"Sulfitobacter sp. JL08",389
"Sulfitobacter sp. SK011",293
"Sulfitobacter sp. SK012",215
"Sulfitobacter sp. THAF37",1306
"Tateyamaria omphalii",510
"Thalassobius gelatinovorus",377
"Thalassococcus sp. S3",516
"Yangia pacifica",1818
"Acetobacter aceti",1485
"Acetobacter ghanensis",193
"Acetobacter persici",294
"Acetobacter sp. KACC 21233",291
"Acidibrevibacterium fodinaquatile",3060
"Acidiphilium cryptum",2366
"Acidiphilium multivorum",5887
"Asaia bogorensis",751
"Gluconacetobacter diazotrophicus",1611
"Gluconobacter albidus",302
"Gluconobacter frateurii",105
"Gluconobacter oxydans",914
"Gluconobacter sphaericus",223
"Granulibacter bethesdensis",1291
"Komagataeibacter europaeus",410
"Komagataeibacter medellinensis",590
"Komagataeibacter nataicola",354
"Komagataeibacter oboediens",320
"Komagataeibacter saccharivorans",705
"Komagataeibacter xylinus",2710
"Kozakia baliensis",637
"Lichenicola cladoniae",2385
"Neoasaia chiangmaiensis",705
"Neokomagataea tanensis",53
"Novacetimonas hansenii",531
"Oecophyllibacter saccharovorans",315
"Parasaccharibacter apium",186
"Roseococcus microcysteis",2513
"Roseomonas gilardii",2125
"Roseomonas haemaphysalidis",2821
"Roseomonas marmotae",2359
"Roseomonas mucosa",2836
"Roseomonas sp. FDAARGOS_362",1725
"Roseomonas sp. OT10",5124
"Swingsia sp. F3b2",68
"Azospirillum baldaniorum",1940
"Azospirillum brasilense",9830
"Azospirillum humicireducens",1564
"Azospirillum lipoferum",1610
"Azospirillum oryzae",1948
"Azospirillum ramasamyi",1693
"Azospirillum sp. B510",2318
"Azospirillum sp. TSA2s",2530
"Azospirillum sp. TSH100",1931
"Azospirillum sp. TSH58",2069
"Azospirillum thermophilum",4178
"Azospirillum thiophilum",2584
"Indioceanicola profundi",2027
"Nitrospirillum amazonense",2832
"Niveispirillum cyanobacteriorum",1253
"Skermanella mucosa",4256
"Skermanella pratensis",3086
"Skermanella rosea",3482
"Skermanella sp. TT6",6539
"Elioraea tepida",3038
"Candidatus Endolissoclinum faulkneri",22
"Defluviicoccus vanus",3359
"Ferrovibrio terrae",2978
"Haematospirillum jordaniae",145
"Hypericibacter adhaerens",8127
"Hypericibacter terrae",6864
"Magnetospirillum gryphiswaldense",1998
"Magnetospirillum magneticum",1767
"Magnetospirillum sp. ME-1",1805
"Magnetospirillum sp. XM-1",1942
"Pararhodospirillum photometricum",1229
"Rhodospirillum centenum",3140
"Rhodospirillum rubrum",1861
"Tistrella mobilis",5791
"Stella humosa",7062
"Magnetospira sp. QH-2",662
"Thalassospira indica",389
"Thalassospira marina",316
"Thalassospira sp. A40-3",292
"Thalassospira sp. B30-1",113
"Thalassospira xiamenensis",189
"Altererythrobacter epoxidivorans",590
"Altererythrobacter ishigakiensis",211
"Altererythrobacter sp. B11",1604
"Altererythrobacter sp. BO-6",548
"Altererythrobacter sp. TH136",970
"Altererythrobacter sp. ZODW24",259
"Aurantiacibacter atlanticus",413
"Aurantiacibacter gangjinensis",442
"Croceibacterium atlanticum",871
"Croceicoccus marinus",2197
"Croceicoccus naphthovorans",1738
"Croceicoccus sp. Ery15",583
"Croceicoccus sp. Ery5",639
"Croceicoccus sp. YJ47",1355
"Erythrobacter aureus",502
"Erythrobacter litoralis",1947
"Erythrobacter mangrovi",770
"Erythrobacter neustonensis",731
"Erythrobacter sp. 3-20A1M",984
"Erythrobacter sp. A30-3",725
"Erythrobacter sp. HKB08",864
"Erythrobacter sp. HL-111",1165
"Erythrobacter sp. JK5",911
"Erythrobacter sp. KY5",417
"Erythrobacter sp. LQ02-29",678
"Erythrobacter sp. SCSIO 43205",347
"Erythrobacter sp. SDW2",887
"Erythrobacter sp. THAF29",600
"Paraurantiacibacter namhicola",579
"Pelagerythrobacter marensis",705
"Porphyrobacter sp. CACIAM 03H1",1159
"Porphyrobacter sp. GA68",697
"Porphyrobacter sp. HT-58-2",707
"Porphyrobacter sp. LM 6",925
"Qipengyuania flava",2581
"Qipengyuania sediminis",989
"Qipengyuania seohaensis",481
"Qipengyuania soli",749
"Qipengyuania sp. 1NDH1",513
"Qipengyuania sp. 1NDH13",666
"Qipengyuania sp. 1NDW3",595
"Qipengyuania sp. 1XM2-8",358
"Tsuneonella amylolytica",1270
"Tsuneonella dongtanensis",1171
"Tsuneonella flava",499
"Tsuneonella mangrovi",920
"Allosphingosinicella indica",2084
"Aquisediminimonas profunda",510
"Blastomonas fulva",1027
"Blastomonas sp. RAC04",779
"Citromicrobium sp. JL477",1063
"Hankyongella ginsenosidimutans",1587
"Novosphingobium aromaticivorans",1814
"Novosphingobium decolorationis",1929
"Novosphingobium ginsenosidimutans",1123
"Novosphingobium pentaromativorans",1593
"Novosphingobium resinovorum",2973
"Novosphingobium sp. EMRT-2",2732
"Novosphingobium sp. ES2-1",1471
"Novosphingobium sp. Gsoil 351",2089
"Novosphingobium sp. KA1",1520
"Novosphingobium sp. P6W",1541
"Novosphingobium sp. PP1Y",1134
"Novosphingobium sp. Sx8-5",1524
"Novosphingobium sp. THN1",1189
"Novosphingopyxis iocasae",1110
"Parasphingopyxis algicola",1252
"Parasphingopyxis sp. CP4",390
"Parasphingorhabdus halotolerans",257
"Parasphingorhabdus litoris",166
"Parasphingorhabdus sp. JHSY0214",216
"Rhizorhabdus dicambivorans",4851
"Rhizorhabdus sp. MK52",1682
"Rhizorhabdus wittichii",5194
"Sphingobium amiense",2794
"Sphingobium baderi",2076
"Sphingobium chlorophenolicum",1109
"Sphingobium cloacae",3175
"Sphingobium fuliginis",1435
"Sphingobium herbicidovorans",1310
"Sphingobium indicum",1723
"Sphingobium phenoxybenzoativorans",1628
"Sphingobium sp. Cam5-1",1238
"Sphingobium sp. CAP-1",1502
"Sphingobium sp. EP60837",1262
"Sphingobium sp. KCTC 72723",800
"Sphingobium sp. MI1205",2772
"Sphingobium sp. PAMC28499",675
"Sphingobium sp. RAC03",867
"Sphingobium sp. SCG-1",805
"Sphingobium sp. SYK-6",1961
"Sphingobium sp. TKS",3917
"Sphingobium sp. YG1",1278
"Sphingobium xenophagum",1365
"Sphingobium yanoikuyae",4932
"Sphingomonas aliaeris",1528
"Sphingomonas alpina",3429
"Sphingomonas changnyeongensis",1605
"Sphingomonas daechungensis",2434
"Sphingomonas ginsengisoli An et al. 2013",2810
"Sphingomonas hengshuiensis",1975
"Sphingomonas insulae",1258
"Sphingomonas koreensis",3548
"Sphingomonas lacunae",663
"Sphingomonas lutea",2998
"Sphingomonas melonis",2592
"Sphingomonas paeninsulae",723
"Sphingomonas panacis",2504
"Sphingomonas panacisoli",1913
"Sphingomonas paucimobilis",1854
"Sphingomonas piscis",1728
"Sphingomonas profundi",2792
"Sphingomonas rhizophila",2901
"Sphingomonas sabuli",2290
"Sphingomonas sanguinis",1243
"Sphingomonas sanxanigenens",4371
"Sphingomonas sediminicola",2894
"Sphingomonas sinipercae",2149
"Sphingomonas sp. AAP5",2621
"Sphingomonas sp. AK-PDB1-5",2203
"Sphingomonas sp. AP4-R1",1980
"Sphingomonas sp. CL5.1",2589
"Sphingomonas sp. Cra20",2223
"Sphingomonas sp. DM2-R-LB4",3435
"Sphingomonas sp. FARSPH",2963
"Sphingomonas sp. HDW15A",1813
"Sphingomonas sp. HMP6",1424
"Sphingomonas sp. HMP9",2536
"Sphingomonas sp. IC081",1704
"Sphingomonas sp. JE1",121
"Sphingomonas sp. KC8",1324
"Sphingomonas sp. LK11",1174
"Sphingomonas sp. LM7",2324
"Sphingomonas sp. MM-1",5882
"Sphingomonas sp. NBWT7",2106
"Sphingomonas sp. NIC1",2527
"Sphingomonas sp. PAMC26645",2940
"Sphingomonas sp. S2-65",1770
"Sphingomonas sp. S9-5",1389
"Sphingomonas suaedae",1307
"Sphingomonas taxi",1853
"Sphingomonas xanthus",2664
"Sphingopyxis alaskensis",1035
"Sphingopyxis fribergensis",2809
"Sphingopyxis granuli",3213
"Sphingopyxis lindanitolerans",1799
"Sphingopyxis macrogoltabida",3959
"Sphingopyxis sp. 113P3",1863
"Sphingopyxis sp. BSN-002",1268
"Sphingopyxis sp. EG6",2179
"Sphingopyxis sp. FD7",1460
"Sphingopyxis sp. MG",664
"Sphingopyxis sp. OPL5",1851
"Sphingopyxis sp. PAMC25046",1951
"Sphingopyxis sp. QXT-31",1915
"Sphingopyxis terrae",2289
"Sphingorhabdus lacus",439
"Sphingorhabdus sp. M41",437
"Sphingorhabdus sp. SMR4y",504
"Sphingorhabdus sp. YGSMI21",658
"Sphingosinithalassobacter sp. CS137",1486
"Sphingosinithalassobacter tenebrarum",1409
"Tardibacter chloracetimidivorans",2102
"Polymorphobacter sp. PAMC 29334",1393
"Polymorphobacter sp. PAMC 29362",1511
"Sandaracinobacter sp. M6",1131
"Sphingosinicella flava",1027
"Sphingosinicella microcystinivorans",1288
"Sphingosinicella sp. BN140058",2360
"Zymomonas mobilis",56
"Achromobacter deleyi",3571
"Achromobacter denitrificans",4834
"Achromobacter insolitus",1956
"Achromobacter mucicolens",937
"Achromobacter pestifer",2507
"Achromobacter sp. 77",1115
"Achromobacter sp. AONIH1",5638
"Achromobacter sp. B7",666
"Achromobacter sp. ES-001",1141
"Achromobacter sp. MFA1 R4",1786
"Achromobacter spanius",4963
"Achromobacter xylosoxidans",15801
"Advenella kashmirensis",287
"Advenella mimigardefordensis",281
"Alcaligenes faecalis",1436
"Alcaligenes sp. SORT26",107
"Bordetella avium",681
"Bordetella bronchialis",2468
"Bordetella bronchiseptica",4755
"Bordetella flabilis",1980
"Bordetella genomosp. 13",4376
"Bordetella genomosp. 6",1067
"Bordetella genomosp. 8",2199
"Bordetella genomosp. 9",2504
"Bordetella hinzii",2198
"Bordetella holmesii",867
"Bordetella pertussis",5075
"Bordetella petrii",5288
"Bordetella pseudohinzii",1276
"Bordetella sp. H567",2076
"Bordetella sp. N",1892
"Bordetella trematum",1934
"Castellaniella defragrans",3744
"Kerstersia gyiorum",776
"Orrella dioscoreae",2166
"Orrella marina",467
"Paralcaligenes sp. KSB-10",717
"Pigmentiphaga aceris",1128
"Pigmentiphaga sp. H8",3454
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. DMV24BSW_D",184
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas sp. T7-7",482
"Pusillimonas (ex Stolz et al. 2005) Pusillimonas thiosulfatoxidans",883
"Aquabacterium olei",3252
"Burkholderia aenigmatica",708
"Burkholderia ambifaria",3249
"Burkholderia anthina",2865
"Burkholderia cenocepacia",16145
"Burkholderia cepacia",9217
"Burkholderia contaminans",2940
"Burkholderia diffusa",799
"Burkholderia dolosa",1657
"Burkholderia gladioli",5295
"Burkholderia glumae",6354
"Burkholderia lata",2706
"Burkholderia latens",963
"Burkholderia mallei",1871
"Burkholderia mayonis",1827
"Burkholderia metallica",836
"Burkholderia multivorans",5752
"Burkholderia oklahomensis",1300
"Burkholderia plantarii",2708
"Burkholderia pseudomallei",11705
"Burkholderia pseudomultivorans",848
"Burkholderia pyrrocinia",2284
"Burkholderia savannae",586
"Burkholderia seminalis",1104
"Burkholderia sp. Bp7605",1858
"Burkholderia sp. DHOD12",3095
"Burkholderia sp. IDO3",688
"Burkholderia sp. JP2-270",829
"Burkholderia sp. KBS0801",113
"Burkholderia sp. LA-2-3-30-S1-D2",799
"Burkholderia sp. MBR-1",208
"Burkholderia sp. MS455",622
"Burkholderia sp. MSMB0856",754
"Burkholderia sp. MSMB1588",109
"Burkholderia sp. NRF60-BP8",780
"Burkholderia sp. PAMC 26561",1128
"Burkholderia sp. PAMC 28687",1102
"Burkholderia stabilis",2437
"Burkholderia stagnalis",2020
"Burkholderia territorii",1523
"Burkholderia thailandensis",2728
"Burkholderia ubonensis",6309
"Burkholderia vietnamiensis",3436
"Caballeronia insecticola",2482
"Caballeronia sp. M1242",2689
"Caballeronia sp. SBC2",1202
"Chitinimonas arctica",1198
"Cupriavidus basilensis",8722
"Cupriavidus campinensis",4288
"Cupriavidus gilardii",4542
"Cupriavidus malaysiensis",718
"Cupriavidus metallidurans",6626
"Cupriavidus nantongensis",3174
"Cupriavidus necator",7994
"Cupriavidus neocaledonicus",1581
"Cupriavidus oxalaticus",7081
"Cupriavidus pauculus",14944
"Cupriavidus pinatubonensis",5728
"Cupriavidus sp. EM10",2939
"Cupriavidus sp. ISTL7",1944
"Cupriavidus sp. KK10",2077
"Cupriavidus sp. MP-37",1359
"Cupriavidus sp. USMAA2-4",1092
"Cupriavidus sp. USMAHM13",827
"Cupriavidus taiwanensis",14408
"Ephemeroptericola cinctiostellae",136
"Ideonella dechloratans",7675
"Inhella inkyongensis",2078
"Lautropia mirabilis",1587
"Leptothrix cholodnii",10114
"Limnobacter sp. SAORIC-580",240
"Methylibium petroleiphilum",7468
"Methylibium sp. Pch-M",7604
"Mitsuaria sp. 7",6105
"Mycetohabitans rhizoxinica",1124
"Mycoavidus cysteinexigens",128
"Mycoavidus sp. HKI",413
"Pandoraea apista",1965
"Pandoraea faecigallinarum",1489
"Pandoraea fibrosis",1307
"Pandoraea norimbergensis",1378
"Pandoraea oxalativorans",1292
"Pandoraea pnomenusa",4180
"Pandoraea pulmonicola",1959
"Pandoraea sp. XY-2",2006
"Pandoraea sputorum",1026
"Pandoraea thiooxydans",1946
"Pandoraea vervacti",1535
"Paraburkholderia acidiphila",2281
"Paraburkholderia acidisoli",2405
"Paraburkholderia aromaticivorans",5189
"Paraburkholderia atlantica",2336
"Paraburkholderia caffeinilytica",1614
"Paraburkholderia caledonica",1874
"Paraburkholderia caribensis",3390
"Paraburkholderia dioscoreae",1271
"Paraburkholderia dokdonella",1374
"Paraburkholderia edwinii",2255
"Paraburkholderia fungorum",2044
"Paraburkholderia ginsengisoli",2210
"Paraburkholderia graminis",2059
"Paraburkholderia hospita",7157
"Paraburkholderia megapolitana",1755
"Paraburkholderia pallida",3132
"Paraburkholderia phenoliruptrix",2068
"Paraburkholderia phymatum",2196
"Paraburkholderia phytofirmans",3770
"Paraburkholderia sp. PGU16",1663
"Paraburkholderia sp. PGU19",1783
"Paraburkholderia sp. SOS3",2436
"Paraburkholderia sprentiae",1982
"Paraburkholderia terrae",2885
"Paraburkholderia terricola",2004
"Paraburkholderia tropica",2420
"Paraburkholderia xenovorans",3043
"Paucibacter sp. KCTC 42545",2257
"Polynucleobacter asymbioticus",50
"Polynucleobacter difficilis",80
"Polynucleobacter necessarius",385
"Polynucleobacter sp. MWH-UH24A",67
"Ralstonia insidiosa",3403
"Ralstonia mannitolilytica",2841
"Ralstonia pickettii",2095
"Ralstonia solanacearum",23240
"Ralstonia sp. 56D2",1057
"Ralstonia syzygii",115
"Rhizobacter gummiphilus",12425
"Rhizobacter sp. AJA081-3",21998
"Roseateles depolymerans",2870
"Rubrivivax gelatinosus",15008
"Sphaerotilus natans",6703
"Tepidimonas taiwanensis",3404
"Thiomonas arsenitoxydans",1159
"Thiomonas intermedia",1768
"Thiomonas sp. X19",3265
"Xylophilus rhododendri",3587
"Acidovorax antarcticus",5169
"Acidovorax avenae",6733
"Acidovorax carolinensis",4857
"Acidovorax cattleyae",1800
"Acidovorax citrulli",2281
"Acidovorax monticola",3496
"Acidovorax radicis",1554
"Acidovorax sp. 1608163",1492
"Acidovorax sp. HDW3",2942
"Acidovorax sp. JMULE5",2218
"Acidovorax sp. KKS102",3224
"Acidovorax sp. RAC01",3870
"Acidovorax sp. T1",9271
"Acidovorax sp. YS12",4146
"Alicycliphilus denitrificans",13842
"Candidatus Symbiobacter mobilis",652
"Comamonas aquatica",5619
"Comamonas kerstersii",939
"Comamonas koreensis",1365
"Comamonas odontotermitis",1104
"Comamonas piscis",904
"Comamonas serinivorans",2722
"Comamonas sp. B21-038",1087
"Comamonas sp. CJ34",1034
"Comamonas sp. NLF-1-9",2239
"Comamonas sp. NLF-7-7",3227
"Comamonas sp. Y33R10-2",500
"Comamonas testosteroni",5668
"Comamonas thiooxydans",2708
"Curvibacter sp. AEP1-3",921
"Delftia acidovorans",5785
"Delftia lacustris",2064
"Delftia sp. Cs1-4",644
"Delftia sp. HK171",233
"Delftia tsuruhatensis",7890
"Diaphorobacter aerolatus",5671
"Diaphorobacter ruginosibacter",2310
"Diaphorobacter sp. HDW4A",4814
"Diaphorobacter sp. HDW4B",1683
"Diaphorobacter sp. JS3050",2369
"Diaphorobacter sp. JS3051",4335
"Diaphorobacter sp. MNS-0",2132
"Hydrogenophaga crassostreae",1258
"Hydrogenophaga pseudoflava",3071
"Hydrogenophaga sp. BA0156",7446
"Hydrogenophaga sp. BPS33",11662
"Hydrogenophaga sp. NH-16",3517
"Hydrogenophaga sp. PAMC20947",1447
"Hydrogenophaga sp. PBC",8261
"Hydrogenophaga sp. PBL-H3",9919
"Hydrogenophaga sp. RAC07",4073
"Hydrogenophaga sp. SL48",3763
"Hydrogenophaga sp. YM1",4574
"Hydrogenophaga taeniospiralis",3651
"Hylemonella gracilis",2433
"Kinneretia sp. DAIF2",8892
"Kinneretia sp. XES5",2476
"Limnohabitans sp. 103DPR2",335
"Limnohabitans sp. 63ED37-2",975
"Melaminivora jejuensis",2953
"Melaminivora sp. SC2-9",4208
"Ottowia oryzae",2177
"Ottowia sp. 27C",2621
"Ottowia sp. oral taxon 894",959
"Polaromonas naphthalenivorans",3416
"Polaromonas sp. JS666",15375
"Polaromonas vacuolata",439
"Pulveribacter suum",2155
"Ramlibacter tataouinensis",23583
"Rhodoferax antarcticus",952
"Rhodoferax ferrireducens",2280
"Rhodoferax koreense",16498
"Rhodoferax saidenbachensis",1960
"Rhodoferax sediminis",5310
"Rhodoferax sp. AJA081-3",1874
"Rhodoferax sp. BAB1",4128
"Rhodoferax sp. MIZ03",763
"Rhodoferax sp. PAMC 29310",962
"Schlegelella brevitalea",7076
"Schlegelella thermodepolymerans",10943
"Serpentinimonas maccroryi",2029
"Serpentinimonas raichei",1986
"Simplicispira suum",2829
"Variovorax boronicumulans",5283
"Variovorax paradoxus",46759
"Variovorax sp. 38R",6980
"Variovorax sp. HW608",17022
"Variovorax sp. PAMC 28711",8316
"Variovorax sp. PAMC26660",5528
"Variovorax sp. PAMC28562",5924
"Variovorax sp. PBL-E5",13572
"Variovorax sp. PBL-H6",18355
"Variovorax sp. PBS-H4",14528
"Variovorax sp. PDNC026",1791
"Variovorax sp. RA8",14440
"Variovorax sp. RKNM96",6267
"Variovorax sp. SRS16",14710
"Variovorax sp. WDL1",21605
"Verminephrobacter eiseniae",2696
"Collimonas arenae",1684
"Collimonas fungivorans",2314
"Collimonas pratensis",1465
"Duganella sp. AF9R3",2565
"Duganella sp. GN2-R2",3297
"Glaciimonas sp. PAMC28666",318
"Herbaspirillum frisingense",1660
"Herbaspirillum hiltneri",1605
"Herbaspirillum huttiense",1048
"Herbaspirillum robiniae",2349
"Herbaspirillum rubrisubalbicans",1605
"Herbaspirillum seropedicae",1851
"Herbaspirillum sp. meg3",1019
"Herminiimonas arsenitoxidans",429
"Janthinobacterium agaricidamnosum",2345
"Janthinobacterium lividum",1017
"Janthinobacterium sp. 1_2014MBL_MicDiv",1394
"Janthinobacterium sp. 17J80-10",1368
"Janthinobacterium sp. B9-8",36
"Janthinobacterium sp. HH102",809
"Janthinobacterium sp. LM6",1017
"Janthinobacterium sp. Marseille",747
"Janthinobacterium sp. PAMC25594",773
"Janthinobacterium svalbardensis",735
"Janthinobacterium tructae",680
"Massilia albidiflava",2438
"Massilia armeniaca",2300
"Massilia flava",3401
"Massilia lutea",2435
"Massilia oculi",2369
"Massilia plicata",2202
"Massilia putida",4661
"Massilia sp. CCM 8941",3201
"Massilia sp. DM-R-R2A-13",2603
"Massilia sp. HC52",3822
"Massilia sp. LPB0304",3410
"Massilia sp. MB5",2535
"Massilia sp. NP310",3111
"Massilia sp. NR 4-1",2219
"Massilia sp. PAMC28688",3345
"Massilia sp. WG5",4649
"Massilia sp. YMA4",2590
"Massilia umbonata",2474
"Massilia violaceinigra",3056
"Noviherbaspirillum sp. UKPF54",2721
"Oxalobacter formigenes",207
"Undibacterium parvum",287
"Undibacterium sp. KW1",277
"Undibacterium sp. YM2",208
"Sutterella faecalis",552
"Sutterella megalosphaeroides",753
"Sutterella wadsworthensis",195
"Turicimonas muris",107
"Casimicrobium huifangae",3578
"Aquaspirillum sp. LM1",501
"Aquitalea aquatilis",430
"Aquitalea denitrificans",254
"Aquitalea magnusonii",311
"Aquitalea sp. USM4",303
"Chitinibacter bivalviorum",180
"Chitinibacter fontanus",55
"Chromobacterium haemolyticum",191
"Chromobacterium paludis",740
"Chromobacterium phragmitis",760
"Chromobacterium rhizoryzae",721
"Chromobacterium sp. ATCC 53434",1193
"Chromobacterium sp. Beijing",720
"Chromobacterium sp. Rain0013",470
"Chromobacterium vaccinii",1235
"Chromobacterium violaceum",1337
"Deefgea sp. D25",65
"Jeongeupia sp. HS-3",924
"Jeongeupia sp. USM3",1880
"Laribacter hongkongensis",1656
"Microvirgula aerodenitrificans",1144
"Paludibacterium paludis",860
"Paludibacterium sp. B53371",638
"Paludibacterium yongneupense",884
"Pseudogulbenkiania sp. NH8B",1676
"Vogesella sp. LIG4",898
"Vogesella sp. XCS3",481
"Chitinolyticbacter meiyuanensis",1209
"Crenobacter cavernae",2224
"Eikenella corrodens",281
"Kingella denitrificans",101
"Kingella oralis",130
"Neisseria animalis",56
"Neisseria animaloris",32
"Neisseria bacilliformis",340
"Neisseria chenwenguii",137
"Neisseria dentiae",135
"Neisseria elongata",77
"Neisseria meningitidis",893
"Neisseria musculi",63
"Neisseria shayeganii",220
"Neisseria sicca",36
"Neisseria sp. KEM232",268
"Neisseria weaveri",52
"Neisseria weixii",28
"Paralysiella testudinis",27
"Vitreoscilla filiformis",896
"Candidatus Nitrotoga arctica",788
"Candidatus Nitrotoga sp. AM1P",543
"Ferrigenium kumadai",1617
"Ferriphaselus amnicola",615
"Gallionella capsiferriformans",411
"Sideroxydans lithotrophicus",1250
"Sideroxydans sp. MIZ01",1458
"Methylobacillus flagellatus",524
"Methylophilus medardicus",84
"Methylophilus sp. TWE2",79
"Methyloradius palustris",49
"Methylotenera mobilis",56
"Methylotenera versatilis",105
"Methylovorus glucosotrophus",65
"Methylovorus sp. MP688",166
"Nitrosomonas communis",434
"Nitrosomonas europaea",178
"Nitrosomonas eutropha",133
"Nitrosomonas ureae",726
"Nitrosospira briensis",981
"Nitrosospira lacus",5172
"Nitrosospira multiformis",731
"Nitrosospira sp. NRS527",960
"Denitratisoma oestradiolicum",1039
"Denitratisoma sp. DHT3",3592
"Methyloversatilis sp. RAC08",1922
"Sterolibacterium denitrificans",2191
"Sulfuritalea hydrogenivorans",2617
"Sulfuricella denitrificans",957
"Sulfuriferula nivalis",83
"Sulfuriferula plumbiphila",1236
"Sulfuriferula sp. AH1",659
"Sulfurimicrobium lacus",1615
"Sulfuritortus calidifontis",2619
"Thiobacillus denitrificans",2966
"Usitatibacter palustris",22051
"Usitatibacter rugosus",22455
"Dechloromonas denitrificans",2623
"Dechloromonas sp. HYN0024",743
"Dechloromonas sp. TW-R-39-2",540
"Ferribacterium limneticum",3493
"Quatrionicoccus australiensis",1702
"Fluviibacter phosphoraccumulans",312
"Aromatoleum aromaticum",2585
"Aromatoleum bremense",3369
"Aromatoleum petrolei",3534
"Aromatoleum pumilum",2381
"Azospira inquinata",450
"Azospira oryzae",1001
"Azospira restricta",6513
"Azospira sp. I09",1538
"Niveibacterium microcysteis",2178
"Oryzomicrobium terrae",1378
"Rugosibacter aromaticivorans",756
"Azoarcus communis",3127
"Azoarcus olearius",2944
"Azoarcus sp. DD4",3482
"Azoarcus sp. KH32C",3597
"Nitrogeniibacter aestuarii",1024
"Nitrogeniibacter mangrovi",2159
"Thauera aromatica",4842
"Thauera chlorobenzoica",2483
"Thauera humireducens",2655
"Thauera hydrothermalis",1127
"Thauera sp. K11",4445
"Thauera sp. MZ1T",6171
"Bradymonas sediminis",803
"Persicimonas caeni",2251
"Desulfarculus baarsii",1951
"Desulfatibacillum aliphaticivorans",400
"Desulfobacula toluolica",21
"Desulfococcus multivorans",566
"Desulfoluna sp. ASN36",355
"Desulfonema magnum",175
"Desulforapulum autotrophicum",145
"Desulfosarcina alkanivorans",1004
"Desulfosarcina ovata",648
"Desulfosarcina widdelii",563
"Desulfobulbus oligotrophicus",47
"Desulfobulbus oralis",471
"Desulfobulbus propionicus",613
"Desulfurivibrio alkaliphilus",390
"Desulfosediminicola flagellatus",23
"Desulfosediminicola ganghwensis",132
"Desulfosudis oleivorans",367
"Desulfohalobium retbaense",242
"Desulfomicrobium baculatum",599
"Desulfomicrobium orale",401
"Desulfocurvibacter africanus",736
"Desulfolutivibrio sulfoxidireducens",721
"Desulfovibrio desulfuricans",544
"Desulfovibrio fairfieldensis",338
"Desulfovibrio ferrophilus",239
"Desulfovibrio piger",462
"Desulfovibrio sp. 86",229
"Desulfovibrio sp. G11",189
"Desulfovibrio sp. IOR2",628
"Desulfovibrio sulfodismutans",619
"Desulfovibrio vulgaris",626
"Megalodesulfovibrio gigas",496
"Oceanidesulfovibrio marinus",912
"Oleidesulfovibrio alaskensis",594
"Paradesulfovibrio bizertensis",24
"Pseudodesulfovibrio aespoeensis",1059
"Pseudodesulfovibrio cashew",519
"Pseudodesulfovibrio indicus",767
"Pseudodesulfovibrio mercurii",829
"Pseudodesulfovibrio profundus",375
"Pseudodesulfovibrio sp. SF6",283
"Pseudodesulfovibrio sp. zrk46",237
"Solidesulfovibrio carbinolicus",752
"Solidesulfovibrio carbinoliphilus",960
